Year Built,Basement Area (sqft),Living Area (sqft),Total Room,Garage Cars,Yr Sold,SalePrice,Garage,Age (years)
2008,2046,2046,7,3,2009,372500,L,1
1961,1050,1050,6,1,2006,136500,S,45
1930,741,1324,7,1,2006,110000,S,76
1961,912,1236,6,1,2006,135000,S,45
1926,1008,1522,7,0,2006,102000,S,80
1988,980,1714,7,2,2010,196500,L,22
1994,1602,1626,7,2,2008,226500,L,14
1976,1211,1211,6,2,2008,161000,L,32
1941,824,1288,6,1,2006,112000,S,65
1997,928,1629,6,2,2010,189900,L,13
2008,1017,2007,10,3,2009,310000,L,1
1970,546,1092,6,1,2009,88000,S,39
1980,716,1556,6,2,2008,151000,L,28
1959,1063,1327,7,2,2007,150750,L,48
1939,972,1577,6,1,2006,140200,S,67
2007,1694,1694,7,3,2007,318000,L,0
1993,1347,2646,9,3,2009,260000,L,16
2004,788,1490,8,2,2008,184000,L,4
1939,560,1258,6,1,2009,105000,S,70
1995,781,1671,7,2,2006,170000,L,11
1955,816,1393,8,1,2008,135500,S,53
1934,816,1176,6,2,2006,114500,L,72
1948,789,789,5,1,2008,115000,S,60
1999,994,1804,7,2,2010,189000,L,11
1957,816,816,5,1,2006,129900,S,49
2005,732,1838,7,2,2006,192140,L,1
1963,816,816,5,2,2010,110000,L,47
1951,631,1112,5,2,2009,126000,L,58
1948,747,1687,7,2,2010,160000,L,62
2004,1375,1414,6,2,2006,178740,L,2
1951,0,1226,7,2,2007,153500,L,56
1958,1158,1176,6,1,2007,137000,S,49
1995,1318,2531,9,3,2007,290000,L,12
1920,637,1336,7,1,2006,108000,S,86
1991,1217,1217,5,2,2006,151000,L,15
1941,788,788,4,0,2006,100000,S,65
1967,876,902,6,1,2007,125500,S,40
1969,1248,2634,12,4,2009,200000,L,40
1985,1265,1240,6,2,2007,174000,L,22
1968,708,1416,7,2,2006,179900,L,38
1974,1064,1350,7,2,2009,165000,L,35
2004,1221,1221,6,2,2009,185000,L,5
2001,827,1677,7,2,2008,190500,L,7
1982,816,816,5,1,2008,130500,S,26
