Year Built,Basement Area (sqft),Living Area (sqft),Total Room,Garage Cars,Yr Sold,SalePrice,Garage,Age (years)
2004,847,1948,8,2,2006,195000,L,2
1928,1008,1143,5,1,2008,138000,S,80
2004,1488,1488,6,2,2010,260000,L,6
2009,1218,1218,4,2,2009,208300,L,0
1970,960,960,6,2,2006,129000,L,36
2004,1365,1548,7,2,2006,225000,L,2
1990,1054,1061,4,2,2009,162000,L,19
2004,1860,1836,8,2,2006,216837,L,2
2007,2320,2290,7,3,2007,500067,L,0
1967,624,1656,7,1,2008,126000,S,41
2006,1573,1625,5,2,2007,375000,L,1
2004,2000,2000,8,3,2007,305900,L,3
1957,912,1236,6,2,2010,149700,L,53
2004,2492,2492,8,3,2009,552000,L,5
1976,1193,1523,7,2,2008,180000,L,32
1955,1204,1411,7,1,2007,130000,S,52
2007,1574,1584,6,2,2007,261329,L,0
2001,1531,2439,7,2,2007,275000,L,6
2001,1491,1491,7,2,2006,209000,L,5
1930,687,1358,6,1,2007,124500,S,77
1967,1680,1724,7,2,2009,197900,L,42
1979,0,2233,11,2,2007,141000,L,28
1976,855,1456,6,2,2006,144000,L,30
1917,624,1288,5,1,2009,119000,S,92
1978,1226,1226,4,2,2006,170000,L,28
1971,864,864,5,2,2008,123000,L,37
1923,1200,1200,7,1,2006,125000,S,83
1998,1425,1425,5,2,2006,193000,L,8
1921,492,492,3,1,2006,61500,S,85
1910,840,2256,12,0,2010,76500,S,100
2007,1776,2772,10,3,2009,462000,L,2
1970,768,768,5,2,2007,129500,L,37
2005,1373,1555,7,2,2009,192500,L,4
2002,783,1509,7,2,2006,183200,L,4
1950,1032,2177,11,2,2010,215000,L,60
1955,864,864,5,2,2006,115000,L,51
1959,984,984,5,1,2008,110000,S,49
1918,1100,2264,8,1,2007,200000,S,89
2002,1712,1712,8,3,2009,286500,L,7
1963,780,1796,8,2,2008,140000,L,45
1971,825,1993,8,2,2006,190000,L,35
2009,832,1935,8,2,2009,263435,L,0
2003,1114,1114,6,2,2009,153000,L,6
1981,1740,1740,7,2,2009,241600,L,28
2002,1626,1668,7,3,2007,285000,L,5
2001,1492,1492,6,2,2009,201000,L,8
1921,731,1343,7,1,2009,154900,S,88
1924,784,784,5,0,2008,109500,S,84
1962,1099,1431,6,1,2008,165000,S,46
1960,958,958,5,1,2007,151500,S,47
1992,836,1731,7,2,2006,248500,L,14
1916,1196,1196,5,2,2007,109900,L,91
2004,1530,1530,7,3,2007,259000,L,3
1965,1024,1020,5,1,2009,124100,S,44
1952,768,1536,7,1,2008,136000,S,56
1976,1078,958,5,2,2007,128000,L,31
2007,1482,2574,10,3,2007,276000,L,0
1978,1420,2840,8,4,2008,292500,L,30
2007,1884,1728,7,2,2008,298751,L,1
1910,481,899,5,1,2008,78000,S,98
2007,1571,1571,7,3,2007,239000,L,0
1976,392,2499,5,2,2009,180500,L,33
2000,975,1848,7,2,2010,254000,L,10
1998,943,1638,7,2,2008,192000,L,10
2006,1694,1694,7,3,2007,322400,L,1
1901,592,1173,7,1,2007,113000,S,106
1988,1845,1872,6,2,2006,241500,L,18
1967,1510,1510,6,2,2010,178900,L,43
1988,1907,1959,9,3,2006,171000,L,18
2000,756,1525,5,2,2007,177000,L,7
1971,483,987,5,1,2008,89500,S,37
2005,1614,1614,7,2,2006,225000,L,1
2001,1212,1212,6,2,2009,178000,L,8
1978,855,1456,6,2,2009,138000,L,31
1957,967,1638,6,1,2006,139000,S,49
2008,1452,2713,11,3,2008,446261,L,0
1976,1281,1620,8,2,2009,150000,L,33
2003,848,848,3,2,2007,131500,L,4
1954,936,1128,5,1,2006,118000,S,52
1924,768,792,5,1,2009,109500,S,85
1999,970,1739,7,2,2009,172500,L,10
1968,732,1464,7,2,2008,141000,L,40
1967,1214,1214,5,1,2007,143000,S,40
1972,672,1218,7,1,2006,118000,S,34
2007,628,1356,6,2,2008,177439,L,1
1977,1610,1610,6,2,2010,205000,L,33
1940,800,1740,6,1,2007,219500,S,67
2009,900,1852,7,2,2009,252678,L,0
2005,1141,1141,6,2,2006,142500,L,1
1959,1041,1041,6,1,2009,124500,S,50
2005,1964,1964,7,3,2008,370000,L,3
1980,712,2237,7,2,2009,204000,L,29
1980,561,1229,5,2,2009,121000,L,29
1962,1438,2448,9,2,2006,277500,L,44
1970,1947,2207,7,2,2010,180000,L,40
2005,1595,1595,6,3,2010,221500,L,5
1995,1242,2501,9,3,2008,290000,L,13
1976,550,1475,6,1,2008,129500,S,32
1977,689,1392,6,1,2010,161750,S,33
2004,1710,1710,7,2,2009,240000,L,5
1955,0,1152,6,0,2008,82000,S,53
1935,0,1032,6,1,2006,125000,S,71
1984,1040,1097,6,2,2010,152000,L,26
1950,1168,2315,9,1,2006,257000,S,56
1915,536,1344,8,0,2008,82375,S,93
1994,712,1895,7,2,2008,194500,L,14
1968,1768,1768,8,0,2010,136500,S,42
1953,1008,1008,6,1,2007,134500,S,54
1967,949,1107,5,1,2007,127000,S,40
1900,540,1440,6,1,2006,79000,S,106
1956,928,928,4,1,2007,132000,S,51
2005,1792,1792,6,3,2006,372397,L,1
1967,1620,1620,8,2,2008,215000,L,41
1910,741,1521,8,3,2009,146500,L,99
1955,1005,1005,5,2,2009,115000,L,54
1994,702,1481,6,2,2009,174000,L,15
1977,808,1969,8,2,2007,190000,L,30
1993,630,1320,5,2,2006,137000,L,13
1968,1056,1056,6,1,2010,142000,S,42
1949,704,1728,7,1,2006,137000,S,57
1930,502,1004,5,1,2006,105000,S,76
1965,935,935,5,1,2006,137000,S,41
1925,1103,1103,5,2,2006,110500,L,81
1985,1742,1742,5,2,2006,275000,L,21
1925,728,1641,6,2,2006,178000,L,81
1914,684,1355,7,0,2007,127000,S,93
1976,1090,1370,6,2,2009,152000,L,33
1999,1698,1709,5,2,2008,328900,L,9
2004,551,1102,4,2,2007,148800,L,3
1957,0,1764,7,1,2008,100000,S,51
