square row col trt abdn
1 1 1 harvest 60.89
1 1 2 insitu 50.56
1 1 3 uncut 27.22
1 1 4 windrow 53.27
1 2 1 insitu 48.25
1 2 2 uncut 28.94
1 2 3 windrow 55.15
1 2 4 harvest 61.12
1 3 1 uncut 29.28
1 3 2 windrow 58.31
1 3 3 harvest 65.65
1 3 4 insitu 52.73
1 4 1 windrow 55.09
1 4 2 harvest 62.57
1 4 3 insitu 52.35
1 4 4 uncut 32.41
2 5 1 harvest 61.6
2 5 2 insitu 50.29
2 5 3 uncut 27.62
2 5 4 windrow 52.13
2 6 1 insitu 53.72
2 6 2 uncut 31.07
2 6 3 windrow 53.38
2 6 4 harvest 61.05
2 7 1 uncut 30.46
2 7 2 windrow 56.27
2 7 3 harvest 65.33
2 7 4 insitu 51.51
2 8 1 windrow 55.03
2 8 2 harvest 66.18
2 8 3 insitu 52.68
2 8 4 uncut 29.12
3 9 1 harvest 60.77
3 9 2 insitu 49.59
3 9 3 uncut 26.95
3 9 4 windrow 53.43
3 10 1 insitu 51.27
3 10 2 uncut 25.97
3 10 3 windrow 52.21
3 10 4 harvest 61.43
3 11 1 uncut 29.9
3 11 2 windrow 53.51
3 11 3 harvest 64.6
3 11 4 insitu 50.66
3 12 1 windrow 54.32
3 12 2 harvest 64.45
3 12 3 insitu 52.13
3 12 4 uncut 32.77
